,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
usuario_001,3.0,2.0,3.0,3.0,,3.0,,,,2.0,2.0,,2.0,3.0,2.0,,,1.0,,,,3.0,,,3.0,,2.0,1.0,1.0,,2.0,,2.0,,3.0,3.0,2.0,3.0,4.0,,,2.0,,,,,,,2.0,,2.0,2.0,,2.0,
usuario_002,,,2.0,,1.0,2.0,2.0,,,,,,3.0,,3.0,,,,3.0,,,,,3.0,2.0,,,,,,,,,,,2.0,2.0,,,1.0,3.0,2.0,3.0,,,2.0,,,,,,2.0,,2.0,
usuario_003,,,3.0,4.0,4.0,,,,,,3.0,,,,3.0,4.0,,3.0,,,4.0,,,,2.0,3.0,,,,3.0,,,,,2.0,3.0,,,,,3.0,,3.0,3.0,3.0,,4.0,,3.0,,,,,3.0,
usuario_004,,,,3.0,,2.0,,2.0,3.0,2.0,,,,,2.0,2.0,2.0,,,,,,,3.0,,2.0,,3.0,,,,2.0,1.0,,2.0,2.0,,3.0,,,,,,,,,,4.0,1.0,,,,,3.0,
usuario_005,3.0,,,,,,,2.0,,,3.0,,,,,,,3.0,2.0,,,2.0,,,,,,4.0,,4.0,,,,,3.0,,,,,,,3.0,,3.0,,,3.0,,3.0,,,,2.0,,3.0
usuario_006,2.0,2.0,,2.0,2.0,1.0,,1.0,2.0,,2.0,,,,,3.0,,3.0,,2.0,2.0,,,2.0,,,,,,,1.0,2.0,,2.0,2.0,2.0,2.0,3.0,3.0,,,2.0,,,,,2.0,,3.0,4.0,4.0,,,,
usuario_007,2.0,3.0,3.0,4.0,2.0,,3.0,2.0,,,,,,,2.0,2.0,,2.0,2.0,,,1.0,,2.0,,,,,,,,2.0,2.0,,2.0,2.0,,1.0,2.0,,1.0,,1.0,,3.0,,3.0,3.0,4.0,,2.0,2.0,2.0,1.0,
usuario_008,,,3.0,3.0,,,4.0,5.0,4.0,,,4.0,3.0,,3.0,3.0,,4.0,,,,4.0,3.0,,,3.0,4.0,3.0,4.0,3.0,,,,,2.0,,,3.0,,2.0,,4.0,,4.0,,3.0,4.0,3.0,,3.0,,2.0,,4.0,
usuario_009,2.0,,,3.0,,3.0,,,,2.0,2.0,,2.0,2.0,,2.0,2.0,,1.0,,1.0,,,,3.0,3.0,,2.0,3.0,2.0,2.0,2.0,3.0,,4.0,3.0,4.0,,3.0,,,,2.0,2.0,2.0,,4.0,,,2.0,,2.0,,3.0,
usuario_010,,,3.0,,,2.0,,2.0,3.0,,,,,2.0,,2.0,2.0,,,,1.0,,,,,2.0,2.0,,,,,,,3.0,,,2.0,2.0,2.0,4.0,2.0,,1.0,,,,,2.0,,,3.0,3.0,3.0,,2.0
usuario_011,4.0,,,,4.0,,5.0,3.0,3.0,3.0,3.0,,,,,3.0,2.0,,3.0,3.0,,,2.0,3.0,,,,,2.0,,,,,3.0,2.0,1.0,,3.0,,2.0,,3.0,,,3.0,2.0,,,,,,,,,4.0
usuario_012,2.0,3.0,2.0,,2.0,,,3.0,2.0,4.0,3.0,5.0,,,,,4.0,4.0,,,,1.0,,3.0,,3.0,,3.0,3.0,,,,,2.0,4.0,4.0,,2.0,,,3.0,,3.0,2.0,,,,,3.0,3.0,,4.0,2.0,3.0,
usuario_013,,2.0,2.0,,,,2.0,2.0,,2.0,2.0,2.0,3.0,,2.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,3.0,2.0,2.0,,2.0,2.0,,,,,,,,,2.0,,,2.0,,4.0,,,2.0,3.0,2.0,2.0,2.0,,,
usuario_014,,2.0,3.0,,,,3.0,3.0,,,,4.0,2.0,,,,2.0,,,,2.0,2.0,2.0,,2.0,4.0,,3.0,,,,,3.0,,4.0,,,3.0,4.0,3.0,3.0,3.0,,2.0,,,2.0,3.0,2.0,,,3.0,,2.0,
usuario_015,3.0,,,,,,,,2.0,,,4.0,3.0,4.0,,,,,4.0,3.0,4.0,,,,3.0,2.0,4.0,2.0,,,,,,,,4.0,4.0,,,3.0,,2.0,2.0,,3.0,,,,2.0,3.0,,2.0,3.0,2.0,3.0
usuario_016,,3.0,4.0,,4.0,3.0,,,,4.0,,,3.0,,3.0,3.0,,,,3.0,3.0,,,,2.0,3.0,2.0,,,2.0,2.0,2.0,,,,,2.0,,,2.0,,,,3.0,,,4.0,2.0,3.0,,3.0,3.0,3.0,,
usuario_017,,,,,,,,,,,2.0,,,,,1.0,2.0,2.0,,,2.0,,,,,,,4.0,2.0,3.0,3.0,,3.0,3.0,,4.0,,,4.0,5.0,,,2.0,,,,,2.0,,,1.0,2.0,2.0,,
usuario_018,3.0,3.0,,4.0,4.0,4.0,,,4.0,4.0,,,,5.0,4.0,,,,,,,4.0,,,3.0,,4.0,,,4.0,2.0,,,,4.0,,,,3.0,,2.0,,4.0,5.0,3.0,4.0,3.0,,,3.0,,3.0,,,3.0
usuario_019,,2.0,,,,,,,2.0,,2.0,,,,,,,,,,,4.0,,,2.0,2.0,,,,3.0,,,,,2.0,,2.0,2.0,,1.0,,,2.0,3.0,,,1.0,,,,2.0,,,,
usuario_020,,3.0,3.0,2.0,2.0,2.0,,2.0,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,3.0,,3.0,,2.0,,,2.0,2.0,,,,4.0,3.0,,4.0,,,,3.0,3.0,,,,,,2.0,,,,,,3.0
usuario_021,,4.0,4.0,,3.0,,3.0,4.0,,,,,3.0,,,4.0,,,,5.0,,,4.0,3.0,3.0,3.0,,2.0,,,,,,,,,3.0,3.0,3.0,,2.0,,,3.0,2.0,4.0,,,,,2.0,2.0,,4.0,4.0
usuario_022,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,3.0,,,,4.0,,,2.0,3.0,3.0,3.0,,,4.0,3.0,,3.0,4.0,,4.0,,3.0,3.0,,3.0,,2.0,3.0,,,,2.0,,,
usuario_023,3.0,3.0,,,,4.0,,,,,,,3.0,,3.0,4.0,,4.0,4.0,4.0,,4.0,,,,4.0,2.0,,3.0,,2.0,3.0,,2.0,,4.0,,,3.0,,,3.0,,3.0,3.0,3.0,3.0,,,,2.0,,,,3.0
usuario_024,,,,,,,3.0,3.0,,,,4.0,3.0,3.0,2.0,,,3.0,5.0,,4.0,,,2.0,,,,,,,2.0,,,2.0,2.0,,,3.0,4.0,,3.0,,,,4.0,,4.0,4.0,,,,3.0,3.0,3.0,3.0
usuario_025,1.0,,,,,,2.0,,2.0,,,2.0,,,,,,,1.0,,,2.0,,,,,,,2.0,,1.0,2.0,,,,1.0,2.0,,,,4.0,,,3.0,2.0,,,,4.0,,,,,2.0,
usuario_026,,,,,,2.0,,3.0,,,,,,,3.0,2.0,,,,2.0,,,,,2.0,,2.0,3.0,2.0,,,,,2.0,,2.0,2.0,3.0,2.0,4.0,3.0,,,,,,2.0,,,,,4.0,2.0,,
usuario_027,1.0,,3.0,,3.0,,,,,,2.0,3.0,,,2.0,2.0,2.0,,1.0,,,,,,,,1.0,,3.0,2.0,2.0,,,,,3.0,,,3.0,,3.0,2.0,,2.0,2.0,,,,,,,3.0,,,
